radii_mm,K,half_width_m,gain_mode,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
15.0,1,0.45,known,0.005065083374631836,0.012337496649962946,0.024894322129641988,0.9224913494809689,1.0,1.0,2
15.0,1,0.6,known,0.00792966965181941,239.7967473450706,998.9068773022603,0.5349480968858131,0.6096885813148789,1.0,1
15.0,1,0.8333333333333334,known,430.73148248258144,inf,inf,0.26920415224913496,0.3134948096885813,0.7785467128027682,0
15.0,1,0.45,common,5.419072658473768,75.16283963437778,1106.8073907948512,0.0,0.0006920415224913495,1.0,2
15.0,1,0.6,common,17.325759545050282,inf,inf,0.0,0.0006920415224913495,0.9307958477508651,1
15.0,1,0.8333333333333334,common,28394.414726726565,inf,inf,0.0,0.0006920415224913495,0.5570934256055363,0
15.0,1,0.45,per_state,5.419072658473768,75.16283963437778,1106.8073907948512,0.0,0.0006920415224913495,1.0,2
15.0,1,0.6,per_state,17.325759545050282,inf,inf,0.0,0.0006920415224913495,0.9307958477508651,1
15.0,1,0.8333333333333334,per_state,28394.414726726565,inf,inf,0.0,0.0006920415224913495,0.5570934256055363,0
"15.0,15.0",2,0.45,known,0.004000156239716583,0.011806429348552713,0.024670098695564507,0.9280276816608997,1.0,1.0,4
"15.0,15.0",2,0.6,known,0.007292676518581026,239.79674674304488,998.906877289307,0.5460207612456748,0.6096885813148789,1.0,2
"15.0,15.0",2,0.8333333333333334,known,430.7314815665441,inf,inf,0.27474048442906573,0.3134948096885813,0.7785467128027682,0
"15.0,15.0",2,0.45,common,5.266176151683762,75.1339235453457,1106.8071583123701,0.0,0.0006920415224913495,1.0,4
"15.0,15.0",2,0.6,common,17.200556424698632,inf,inf,0.0,0.0006920415224913495,0.9307958477508651,2
"15.0,15.0",2,0.8333333333333334,common,28394.41472659951,inf,inf,0.0,0.0006920415224913495,0.5570934256055363,0
"15.0,15.0",2,0.45,per_state,5.266176151684077,75.13392354533993,1106.8071583121941,0.0,0.0006920415224913495,1.0,4
"15.0,15.0",2,0.6,per_state,17.2005564246986,inf,inf,0.0,0.0006920415224913495,0.9307958477508651,2
"15.0,15.0",2,0.8333333333333334,per_state,28394.41472659948,inf,inf,0.0,0.0006920415224913495,0.5570934256055363,0
"12.0,15.0",2,0.45,known,0.004625474154013008,0.0075935437917703545,0.012113089943129637,0.9972318339100346,1.0,1.0,3
"12.0,15.0",2,0.6,known,0.004946489454117554,0.0327618658360793,0.10261512869844512,0.8588235294117647,0.9972318339100346,1.0,1
"12.0,15.0",2,0.8333333333333334,known,0.016598504177733623,9815.125665408048,inf,0.4491349480968858,0.5930795847750865,0.9584775086505191,0
"12.0,15.0",2,0.45,common,0.6056489744826845,2.5763905331137362,5.27782300628721,0.0,0.0,1.0,3
"12.0,15.0",2,0.6,common,1.1038458091879384,103.94988786443712,7008.804556966492,0.0,0.0,1.0,1
"12.0,15.0",2,0.8333333333333334,common,53.33182252145227,inf,inf,0.0,0.0,0.903114186851211,0
"12.0,15.0",2,0.45,per_state,1.615356556430039,13.803402386909282,55.16277058052015,0.0,0.0,1.0,3
"12.0,15.0",2,0.6,per_state,3.8303411658548128,1763.7489521752223,16094.646288165037,0.0,0.0,1.0,1
