bandwidth_hz_per_reference_pilot,pd_area_mm2,radii_mm,tile_integration_seconds,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
10.0,0.09999999999999999,15.0,1.25,0.00896047220428448,0.03593462614266693,0.07744144599598837,0.5737024221453287,1.0,1.0,2
10.0,0.09999999999999999,"12.0,15.0",1.25,0.008075417816054281,0.1026168223075982,0.3240623427498185,0.6179930795847751,0.9446366782006921,1.0,1
10.0,1.0,15.0,1.25,0.004136906987585215,0.0062407331262448774,0.009053434895062572,1.0,1.0,1.0,3
10.0,1.0,"12.0,15.0",1.25,0.004004451359476955,0.01147748757635383,0.032881694221287686,0.9363321799307959,1.0,1.0,2
10.0,10.0,15.0,1.25,0.003481818251274265,0.004814242460205495,0.0060453532027325285,1.0,1.0,1.0,3
10.0,10.0,"12.0,15.0",1.25,0.0031957139808683984,0.005863953023612212,0.007441335404242659,1.0,1.0,1.0,2
100.0,0.09999999999999999,15.0,0.125,0.025425377335985745,0.11261498579572209,0.24448254351009227,0.09965397923875433,0.9335640138408304,1.0,1
100.0,0.09999999999999999,"12.0,15.0",0.125,0.020543865730961716,0.32419002104495453,1.024637411178837,0.17716262975778546,0.8643598615916955,1.0,1
100.0,1.0,15.0,0.125,0.005065083374631836,0.012337496649962946,0.024894322129641988,0.9224913494809689,1.0,1.0,2
100.0,1.0,"12.0,15.0",0.125,0.004946489454117554,0.0327618658360793,0.10261512869844512,0.8588235294117647,0.9972318339100346,1.0,1
100.0,10.0,15.0,0.125,0.003734469720883336,0.005299086651472745,0.00646157124040954,1.0,1.0,1.0,3
100.0,10.0,"12.0,15.0",0.125,0.003537341867324885,0.006716065783577768,0.011676412863875649,0.9944636678200692,1.0,1.0,2
1000.0,0.09999999999999999,15.0,0.0125,0.07952599476178868,0.35579559968586516,0.772992288447066,0.0006920415224913495,0.6041522491349481,1.0,1
1000.0,0.09999999999999999,"12.0,15.0",0.0125,0.06413011868081347,1.0250798724886627,3.24014444868695,0.008304498269896194,0.6678200692041523,1.0,1
1000.0,1.0,15.0,0.0125,0.008961485134471718,0.03593507141183289,0.0774417481869688,0.5737024221453287,1.0,1.0,2
1000.0,1.0,"12.0,15.0",0.0125,0.00807627669849926,0.10261796221954549,0.32406241846424044,0.6179930795847751,0.9446366782006921,1.0,1
1000.0,10.0,15.0,0.0125,0.00413696124886084,0.0062408271927151876,0.009053693715466972,1.0,1.0,1.0,3
1000.0,10.0,"12.0,15.0",0.0125,0.004004807660519825,0.011478248735290344,0.03288176885136225,0.9363321799307959,1.0,1.0,2
10000.0,0.09999999999999999,15.0,0.00125,0.25120454577528356,1.1250218867913648,2.444375322458035,0.0,0.12249134948096886,1.0,0
10000.0,0.09999999999999999,"12.0,15.0",0.00125,0.20253104257562113,3.241555876017382,10.246222635100759,0.0,0.21868512110726643,1.0,0
10000.0,1.0,15.0,0.00125,0.025428234674577326,0.11261640656627003,0.24448350071039682,0.09965397923875433,0.9335640138408304,1.0,1
10000.0,1.0,"12.0,15.0",0.00125,0.020548201088458007,0.3241936292417507,1.024637650641049,0.17716262975778546,0.8643598615916955,1.0,1
10000.0,10.0,15.0,0.00125,0.005065425584017713,0.012338794078760193,0.024895262315663826,0.9224913494809689,1.0,1.0,2
10000.0,10.0,"12.0,15.0",0.00125,0.004947107008266925,0.032765436175133035,0.1026153678415011,0.8588235294117647,0.9972318339100346,1.0,1
